STATE,District,Dist_Code,TEHSIL,lat,lon,date,Tmax_mean,Tmax_Std,Tmin_Mean,Tmin_Std,IMD_pr_Mean,IMD_pr_std
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-10,33.51,1.73,22.1,1.32,1.4143,6.3243
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-11,32.84,1.9,21.5,1.26,2.2914,7.9129
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-12,32.92,1.5,21.11,1.56,2.2729,8.1657
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-13,33.08,1.54,20.94,1.67,0.1357,0.7429
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-14,32.87,2.25,20.61,1.68,0.8129,3.8014
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-15,32.84,1.9,20.54,1.72,1.24,5.8686
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-16,32.86,1.58,20.2,1.67,1.2543,5.8029
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-17,32.53,1.51,20.32,1.75,0.3771,1.94
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-18,32.43,1.3,20.04,1.5,0.8957,4.4057
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-19,32.02,1.69,19.83,1.65,1.2271,5.3457
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-20,32.29,1.46,19.49,1.7,1.2771,4.5814
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-21,32.27,1.55,19.43,1.54,0.12,0.4957
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-22,32.24,1.23,19.18,1.5,1.1871,4.7143
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-23,31.97,1.47,18.87,1.66,0.0086,0.0514
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-24,31.82,1.63,18.46,1.71,0.5643,3.0943
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-25,31.59,1.51,18.26,1.69,0.0314,0.1386
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-26,31.45,1.22,18.09,1.58,0,0
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-27,31.3,1.37,17.88,1.48,0.0157,0.0857
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-28,30.98,1.61,17.79,1.64,0.0657,0.3514
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-29,31.05,1.74,17.52,1.66,0.1743,0.8157
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-30,31.08,1.86,17.22,1.82,0.26,1.3186
