 date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Std
31-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.66
01-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.46
02-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.51
03-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.4
04-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.72
05-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.96
06-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
07-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.42
08-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.49
09-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.62
10-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.49
11-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.59
12-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.53
13-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.38
14-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.78
15-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.01
16-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.91
17-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
18-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.78
19-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.87
20-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.75
21-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.59
22-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.38
23-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.44
24-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.21
25-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.17
26-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.26
27-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.36
28-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.34
29-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.45
30-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.57
01-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.38
02-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.11
03-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.95
04-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.01
05-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.13
06-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.17
07-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.19
08-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.17
09-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.4
10-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.3
11-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.26
12-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.28
13-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.99
14-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.18
15-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.01
16-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.96
17-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.15
18-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.23
19-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.94
20-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.93
21-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1
22-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.86
23-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.85
24-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.96
25-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.09
26-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.08
27-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.19
28-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.15
29-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.8
30-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.82
31-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.93
01-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.92
02-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,0.94
